,",Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM"
61,"7,Raul Neto,25:14,9,18,.500,3,7,.429,1,2,.500,0,2,2,4,0,0,2,1,22,-11,8/11/2020,,,,,,,,,,,,,,,"
62,"8,Norvel Pelle,16:11,2,4,.500,0,0,,0,0,,3,2,5,1,0,2,2,5,4,-4,8/11/2020,,,,,,,,,,,,,,,"
63,"9,Al Horford,240,46,93,.495,15,33,.455,10,14,.714,11,23,34,28,5,4,8,20,117,,8/11/2020,,,,,,,,,,,,,,,"
64,"10,Tobias Harris,8/11/2020,Marial Shayok,8/11/2020,Team Totals,8/11/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
65,"0,Kyle O'Quinn,32:23,,,,,,,,,,,,,,,,,,,,,.699,.667,.000,.167,3.4,39.2,19.0,40.7,3.2,2.4,13.4,10.3,161,130,15.7"
66,"1,Shake Milton,30:35,,,,,,,,,,,,,,,,,,,,,.333,.333,.167,.000,3.6,4.6,4.0,27.7,0.0,0.0,0.0,17.6,106,147,-10.2"
67,"2,Matisse Thybulle,28:53,,,,,,,,,,,,,,,,,,,,,.875,.875,.500,.000,3.8,4.9,4.3,0.0,0.0,2.7,0.0,6.2,176,145,-5.7"
68,"3,Alec Burks,27:42,,,,,,,,,,,,,,,,,,,,,.613,.588,.294,.235,0.0,10.2,4.4,22.8,1.9,0.0,0.0,30.3,134,142,5.0"
69,"4,Mike Scott,22:07,,,,,,,,,,,,,,,,,,,,,.708,.708,.333,.000,9.9,12.8,11.1,7.0,2.4,0.0,7.7,26.3,132,140,5.3"
70,"5,Furkan Korkmaz,31:30,,,,,,,,,,,,,,,,,,,,,.470,.409,.636,.364,0.0,0.0,0.0,0.0,1.7,0.0,7.3,19.6,92,145,-11.5"
71,"6,Glenn Robinson,25:25,,,,,,,,,,,,,,,,,,,,,.727,.722,.667,.333,12.9,22.2,16.9,0.0,0.0,0.0,8.8,19.9,138,143,-0.5"
72,"7,Raul Neto,25:14,,,,,,,,,,,,,,,,,,,,,.583,.583,.389,.111,0.0,11.2,4.9,26.3,0.0,0.0,9.6,37.1,112,146,-2.2"
